D3.TRANSACCION,CANAL_ATENCION,CAUSA,DESCRIPCION,MOTIVO,MUNICIPIO,D0.SERVICIO,D2.PUNTO DE CONTACTO,,D5.LOCALIDAD,P3.ASPECTOS QUE LO SORPRENDIERON O QUE LE MOLESTARON,INCIDENTE CRITICO
Quejas Gas,TELEFONICO,COMPORTAMIENTO FUNCIONARIO TRABAJADOR O CONTRATISTA,"Sr Manuel Hern?ndez cc 70520368 Tel 3136009817 - 3233655263 Dir Arboletes, usuario tiene un pedido PED-726209-N8P4 para la instalaci?n del gas con ordenes ORD -00781906 a cargo del contrato CONDUGAS CW14785, dentro del tiempo de atenci?n. El usuario se encuentra muy inconforme debido a que el funcionario que fue a instalarle el d?a lunes 06 de mayo del presente a?o fue grosero y se neg? hacer la instalaci?n debido a que un vecino le hizo una observaci?n de que no fuera a dejar basuras que dejara limpio y el funcionario de manera poco cortes le dijo que a ?l no ""le pagaban por hacer aseo"" y no hizo la instalaci?n si no que se retiro. Por favor validar usuario requiere del servicio. / Autoriza sms / jsalazla id 00001057411557254546",_,ARBOLETES,Gas,Línea de atención,,Regional,-,EXPERIENCIA NORMAL
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,Se presenta usuaria en calidad de propietaria reclama por altos consumos facturados en el servicio de energ?a para el mes de abril de 2019.,_,CALDAS,Energía,Oficina de atención,,Metropolitana,LA VERDAD NO QUEDE SATISFECHA CON LA RESPUESTA QUE DIERON PORQUE ESTÁBAMOS RECLAMANDO POR UN INCREMENTO EN LA TARIFA Y  NOS DIJERON QUE NO HASTA QUE HICIERAN UNA REVISIÓN.,INCIDENTES NEGATIVOS
Quejas Energía (incluido prepago),TELEFONICO,DEMORA EN ATENDER PETICION,"LOER FRANCO
CC 98522488
ID-00001151231556540910
CONTACTOS: 3013715724
AUTORIZA SMS: SI
RURAL_190616200262450000_VEREDA SAN LUIS",_,RIONEGRO,Energía,Línea de atención,,Regional,FUE PRECISA LA INFORMACION QUE ME BRINDARON. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,ME GUSTO QUE ME ATENDIERON MI SOLICITUD DE FORMA INMEDIATA ( NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,NO CONEXION DEL SERVICIO,"Nombre: Daniel Enrique Hernandez Mu?oz
Cc: 71801413
Tel: 3014076343-3007949960
Dir: RURAL_190819100139600000_CALLE ROBLEDO
Autoriza SMS: Si
Id: 00001126101554995052
Pedido 21121335 para movimiento de poste, en estado pendiente desde el 13 de marzo. Cliente
inconforme porque asegura que a?n no le han realizado el movimiento del poste, indican que hay cita programada para semana 14 pero el tiempo ya paso. Solicita pronta respuesta.",_,TOLEDO,Energía,Línea de atención,,Regional,LE TOCO LLAMAR EN VARIAS OCASIONES Y TOCO RADICAR EN 2 OCASIONES PARA LOGRAR QUE VINIERAN. NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,MUY BUEN SERVICIO DE ATENCIÓN TOMÓ RÁPIDO TODOS LOS DATOS TODO LO QUE NECESITABA EL REQUERIMIENTO Y FUE RÁPIDO EL SERVICIO DE LA INSTALACION.NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Revisiones Periódicas,_,_,_,_,COPACABANA,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas Gas,TELEFONICO,NO CONEXION DEL SERVICIO,"Se comunica la usuaria Olga Lucia londo?o Garcia  con cc:21421437 tel: 3135619402 - 5860356 direccion CL 64 F CR 94 B -43 (INTERIOR 201 ) del municipio de Medellin muy inconforme ya que hace 3 semanas atras se ha comunicado para consultar si la ORD -00706988 Habilitaci?n servicio ODI externa ya esta a ctivida, se verifica en sistema y aun no la orden sigue Devuelta Inactiva desde la fecha 14/04/2019, tambien se logra evidencia que hay va rios escalamientos y no le dan respuesta/ 00001002591555336212/ jzapajar",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,BUENA ATENCIÓN EN CUANTO A QUE UNO MARCA Y DE UNA CONTESTAN Y LE PRESTAN A UNO ATENCIÓN (NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,TURBO,Energía,Línea de atención,,Regional,"QUE ME BRINDARON BUENA ATENCIÓN AL CLIENTE EN CUANTO A QUE FUERON CORDIALES, Y LE DIERON RESPUESTA A LA NECESIDAD O A LA DUDA QUE TENÍA EN EL MOMENTO. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas aguas (incluido prepago),TELEFONICO,FALLA EN LA CONEXION DEL SERVICIO,"Nombre: Maria Maribel Jimenez
Cc: 43065016
Tel: 4386324-3007924714
Dir: CL 62 CR 106 B -35
Autoriza SMS: Si
Id: 00001097471557254824
Solicitud en hidro 2847224 para Conexi?n del Servicio Agua Potable Prepago, creado el 27 de abril  y en estado programado para la instalaci?n. Cliente inconforme asegura que le instalaron el medidor ?l 30 de abril y a?n no ha podido recargar, est? muy perjudicada sin el servicio.",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,ACUDIERON A LLAMADO RÁPIDAMENTE NO DA MÁS  INFORMACION,INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas Energía (incluido prepago),TELEFONICO,NO SE GENERA FACTURA PARA UNA INSTALACION,"Cristina Cardona
CC 39215960
Tel 3014311291
Dir CL 59 BB CR 69 -281 (INTERIOR 258 ) (Aleda?a)
Autoriza Sms Si
Id 00001039601554836966
Se ingresa con aleda?a. Pedido en F?nix Oracle 20934153 para HV de energ?a con todas las secuencias cumplidas, aun aparece con ?rdenes generadas por lo cual todav?a no ha pasado a facturar. Favor validar y atender en el menor tiempo posible.",_,BELLO,Energía,Línea de atención,,Metropolitana,"QUE LA INSTALACIÓN SE REALIZÓ EN DICIEMBRE LLAME EN ENERO, FEBRERO Y MARZO Y HASTA ABRIL ME DIERON RESPUESTA, NO ME DABAN LA INFORMACION COMPLETA, NO DABAN RESPUESTA CONCRETA. NO DA MÁS INFORMACION",INCIDENTES NEGATIVOS
Daños Energía,_,_,_,_,BELLO,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Solicita informaci?n de reportes en centrales de riesgo.,_,ITAGUI,Energía,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"LA RAPIDEZ Y EL BUEN SERVICIO, EN CUANTO QUE ELLOS AGENDAN RON LA CITA RÁPIDO NO TUVE QUE ESPERAR TANTO TIEMPO Y EL PERSONAL QUE VINO FUE UNA PERSONA MUY ATENTA, MUY FORMAL UNA PERSONA MUY EDUCADA, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,EN SI FUE MALA ATENCIÓN PORQUE ESTABA SOLICITANDO UNA REVISIÓN POR ALTOS CONSUMOS REPORTADOS EN EL MEDIDOR Y ME DIJERON QUE TENÍA QUE HACER UNA MEDICIÓN INTERNA Y QUE NO PODÍAN HACER NADA HASTA QUE YO HICIERA LA MEDICIÓN INTERNA. NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Quejas Energía (incluido prepago),TELEFONICO,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,"Nombre: NELLY ESTELLA IBARBO DELGADO 
C.C: 32441727
Contrato: 7166570
Direcci?n: CL 15 SUR CR 46 -10 (INTERIOR 406 )
Celular: 3014369244
ID: 00001094381557157721
Observaci?n: Contrato 7166570, ciclo 120. Cliente inconforme porque no le llego la factura, esta es la 3 vez que sucede, favor validar pues no se encuentra inscrito en factura web, y no presenta observaci?n por parte del personal.",_,MARINILLA,Energía,Línea de atención,,Regional,"YO LLAME VARIAS VECES COMO 3 VECES, ME DECÍAN QUE TENÍA QUE ESPERAR, ME GUSTO LA RESPUESTA QUE ME DIJERON QUE YA MAÑANA ME LLEGABA LA FACTURA. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,INCUMPLIMIENTO DE LA REVISION EN LAS FECHAS ESTABLECIDAS,"Nombre: Carlos Henry Carvajal 
Cc: 70561450
Tel:2996608 - 3133966158 
Dir: TRAN 32 A SUR DIAG 29 -54 (INTERIOR 102 )
Autoriza SMS: SI 
Id: 00001146041556630985
Usuario desea interponer queja para la empresa E&C ya que se program? cita de Revisi?n Peri?dica para le pasado s?bado 27 de abril de 2019 con orden #790540 en el horario de 1:00 pm a 6:00 pm, asegura que no fueron ni llamaron a decir porque no cumplir?an la visita. Pide que se haga el llamado de atenci?n y se tomen medidas al respecto ya que jugaron con su tiempo el cual es muy valioso.",_,ENVIGADO,Gas,Línea de atención,,Metropolitana,LA ATENCIÓN PORQUE ME SOLUCIONARON EL PROBLEMA Y NO ME DEJARON ESPERANDO CASI EN LA LÍNEA (NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,Usuaria en calidad de inquilina solicita que la empresa revise los consumos de energ?a facturados en abril de 2019.,_,CISNEROS,Energía,Oficina de atención,,Regional,"QUE NO ME SOLUCIONARON NADA, ME DIJERON QUE NO PODÍAN HACER NADA Y ESO ERA LO QUE TENÍA QUE PAGAR.",INCIDENTES NEGATIVOS
Daños Acueducto,_,_,_,_,BELLO,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Gas,_,_,_,_,ITAGUI,Gas,Línea de atención,,Metropolitana,PORQUE YO TENGO UN PROBLEMA CON ELLOS Y NO LO HE PODIDO RESOLVER Y QUE NO ME ENTENDÍA LO QUE YO LE ESTABA DICIENDO ÓSEA QUE YO LE REPETÍA Y LE REPETÍA Y LE DECÍA VOLVAMOS A EMPEZAR PORQUE NO ME ESTÁ ENTENDIENDO/NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Daños Energía,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Peticiones Energía Oficinas (resuelto),_,_,_,_,_,Energía,Oficina de atención,,Metropolitana,LA AMABILIDAD Y EFICACIA DEL PERSONAL,INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,_,Acueducto,Línea de atención,,Metropolitana,_,_
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuaria solicita informaci?n acerca del saldo pendiente por concepto de financiaci?n del servicio de gas natural,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,"POR LA RAPIDEZ EN EL SERVICIO DESDE LA ATENCIÓN EN LA FILA HASTA EN LA INFORMACION QUE ME DIERON EN LA ASESORÍA, YA QUE FUE MUY CLARA Y MUY ÁGIL.",INCIDENTES POSITIVOS
Revisiones Periódicas,_,_,_,_,BELLO,Gas,Línea de atención,,Metropolitana,"BUENO LO QUE PASA ES QUE YO NO ESTUVE PRESENTE ES ESA VISITA, PERO SIN EMBARGO LE PREGUNTÉ A LA PERSONA QUE ESTUVO Y LE FUE BIEN QUE REVISARON TODO, ESTUVIERON PUNTUALMENTE COMO SE HABÍA ACORDADO EN LA CITA Y QUE NO SE PRESENTÓ NINGÚN PROBLEMA ENTONCES EN GENERAL MUY BIEN, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),_,_,_,_,_,Acueducto,Línea de atención,,Metropolitana,SOLUCIONARON EL PROBLEMA SE INDAGA  NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,Usuario en calidad de inquilino reclama por el consumo de acueducto facturado en el mes de abril de 2019.,_,SABANETA,Acueducto,Oficina de atención,,Metropolitana,TANTA GENTE ALEGANDO POR LA MISMA SITUACIÓN Y TAN POQUITOS FUNCIONARIOS.,INCIDENTES NEGATIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas aguas (incluido prepago),TELEFONICO,INCONFORMIDAD PUNTO DE VENTA YO RECAUDO,"Nombre: Jaime Alonso Uribe Pareja
Cc: 1128419708
Tel: 3008449134 - 2269224
Dir:CR 26 EF CL 37 -73
Autoriza SMS: Si
Id: 000001131651555620326
N?mero del medidor: WATERTECH_SIRIUS-S_20181004568  N?mero de la tarjeta: 04740FEA455C80
Usuario manifiesta que realiz? recarga de agua prepago el d?a 17 de Abril en el punto de venta Gana por valor de $9.000, coloca la tarjeta en el medidor y le registra 00 m3, las llaves se encuentra abiertas, y la recarga se visualiza en el sistema. wmoralbe",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,SE  DEMORARON  MUCHO EN VENIR A ORGANIZAR LA COSA QUE SE BLOQUEÓ SE  BLOQUEÓ EL CONTADOR DEL AGUA FUE SOBRE TODO PORQUE HUBO DEMORA DURE DESDE EL MARTES AL SÁBADO SIN SERVICIO SE INDAGA  NO DA MÁS  INFORMACION,INCIDENTES NEGATIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,EMISION DE DOCUMENTO PARA PAGO,Usuario solicita cup?n para pago,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,"LA FORMALIDAD EN LAS PERSONAS EN LA ATENCIÓN, Y CUMPLIMIENTO EN LA FECHA DICHA PARA IR A CONECTAR EL GAS. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Carga de consumo servicios de Metros c?bicos por trocamiento con la direcci?n 20136508641 CR 80 CL 44 -95 (INTERIOR 202 )  de Medellin,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,"HUBO BUENA ATENCIÓN DESDE LA VIGILANCIA QUE TUVIERON BUENA ACTITUD, HASTA EL ASESOR EL CUAL FUE ÁGIL EN LA ATENCIÓN. NO DA MÁS INFORMACION.",INCIDENTES POSITIVOS
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,"QUE NO RECIBÍ   NINGUNA AYUDA NI NINGUNA  SOLUCIÓN NI POR LA LÍNEA DE ATENCIÓN  NI AL FINAL  LOGRE,  NO ME  AYUDARON  EN NADA, YA QUE LA FORMA QUE EPM TIENE PARA  FINANCIAR NO ES UNA AYUDA NO HAY FORMA DE FINANCIAR POR LA LÍNEA LO ÚNICO QUE ME INDICO ES QUE COMO YA HABÍA PASADO LA  FECHA LÍMITE DE PAGO NO  ME DIO NINGUNA SOLUCIÓN  QUE  NO PODÍAMOS HACER NADA O ME DIGO QUE PODÍAMOS IR A UNA DE  LAS  OFICINAS  PERO QUE SIENDO YO LA DUEÑA DEL CONTADOR NO PUEDO  FINANCIAR TIENE QUE SER LA DUEÑA DE LA CASA.",INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,LA NIÑA YA SABÍA EL PROBLEMA DEL MEDIDOR QUE TENÍAN QUE DARME UN CÓDIGO PARA OTRO NUEVO PIN Y LO QUE ME DIJO ES QUE TENÍAN QUE VENIR ACÁ A REVISAR EL MEDIDOR MUY MALUCO PORQUE ELLOS DEBERÍAN ESTAR PREPARADOS Y SE DEMORARON 6 DÍAS Y YO TENGO UN NEGOCIO PEQUENO.NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,SEPARACION TEMPORAL O PAGO DIRIGIDO,El usuario solicita separaci?n,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,LA ATENCIÓN DE LOS EMPLEADOS FUE EXCELENTE PORQUE FUERON MUY AMABLES Y ME ATENDIERON CON UNA SONRISA; SE VE LA CALIDAD HUMANA PARA ATENDER LA GENTE POR EL CARISMA QUE MANEJAN.,INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario solicita informaci?n del servicio de paga a tu medida.,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,EL SERVICIO DEL PERSONAL ME BRINDÓ TODA LA INFORMACION,INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario solicita informaci?n sobre cobro por trabajos de agua para el contrato 619526,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,LA ATENCIÓN Y LA CALIDEZ DE LOS FUNCIONARIOS DE EPM.,INCIDENTES POSITIVOS
"Peticiones Escritas (Energía, aguas, gas)",CARTA,PETICIONES TECNICAS,"Cliente solicita visita de verificaci?n de la red de acueducto en la CR 25 CL 9 A -30 (INTERIOR 108 ) del municipio de Medell?n, debido a que se requiere de forma precisa que EPM indique el sitio donde se encuentra una fuga imperceptible y que a su vez se realice prueba de pictometr?a, para poder proceder a reparar el da?o.",_,MEDELLIN,Acueducto,Canal Escrito,,Metropolitana,LA ATENCIÓN FUE MUY BIEN EN LA ATENCIÓN QUE ME PRESTO EL EMPLEADO POR PARTE DE EPM EN QUE ME ORIENTO HACIA EL PROBLEMA QUE TENÍA/NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,GUADALUPE,Energía,Línea de atención,,Regional,QUE ME CONTESTARON INMEDIATAMENTE Y ME BRINDARON LA INFORMACION DEL DAÑO. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,PLAZO PARA PAGO,La se?ora Yulis Montes propietaria solicita cancelar la cuenta vencida,_,APARTADO,Gas,Oficina de atención,,Regional,"LA ATENCIÓN FUE EXCELENTE, PORQUE ESE DÍA QUE FUI A HACER LA SOLICITUD A LA OFICINA FUI CON MI HIJA QUE ESTABA ENFERMA; ENTONCES CUANDO VIERON QUE LA NIÑA TENÍA FIEBRE SE ACERCARON Y ME PREGUNTARON QUÉ PASABA, Y LES DIJE QUE VENIA DEL MÉDICO PARA HACER UNA SOLICITUD Y AHI MISMO ME ATENDIERON Y ME DIERON TRATO PRIMORDIAL Y DE FORMA RÁPIDA PORQUE LLEVABA A LA NIÑA ENFERMA, PARA SALIR RÁPIDO DE LA OFICINA. EN GENERAL FUI BIEN ATENDIDA",INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,NO CONEXION DEL SERVICIO,"US ORLANDO ANTONIO ARROYAVE MONSALVE /CC 8015457 /TEL 3127357357 /DIR DIAG 43 AVDA 34 E -20 (INTERIOR 2020 ) /BELLO /Usuario con ordenes ORD -00760629 ORD -00760628 asignadas al contratista desde el 15 de abril y hasta el momento no han realizado ning?n procedimiento, usuario manifiesta que nunca se han comunicado con ?l y tampoco han ido a la casa. Favor validar ya que va en el d?a 23 de 16 /ID 00001121751557328353 YPERPINE",_,BELLO,Gas,Línea de atención,,Metropolitana,"POR QUÉ NO ME SOLUCIONARON MI REQUERIMIENTO EN LA LLAMADA  SOLO ME DIJERON QUE PUSIERA OTRA  QUEJA O UN RECLAMO, PERO UN MES DESPUÉS   POR LA PÁGINA(NO DA MÁS INFORMACION)",INCIDENTES NEGATIVOS
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,FUE BUENO EN CUANTO A QUE EL ASESOR QUE ME ATENDIÓ EN LA LÍNEA DE ATENCIÓN ME SOLUCIONO  EL PROBLEMA  / NO DA MÁS INFORMACIÓN,INCIDENTES POSITIVOS
"Peticiones Escritas (Energía, aguas, gas)",BACK,GESTION INTERNA,Se crea para atender todo lo relacionado con las rebajas y devoluci?n pagos por servicio no prestado de alcantarillado.,_,MEDELLIN,Acueducto,Canal Escrito,,Metropolitana,PORQUE ME ATENDIERON BIEN EN QUE ME SOLUCIONARON EL PROBLEMA SIN MUCHO CONTRATIEMPO EN EL PROCESO QUE VIVIMOS ACÁ NO HACE MUCHO DEL ALCANTARILLADO ME PRESENTÉ A LA ENTIDAD Y OBTUVE UNA RESPUESTA RÁPIDA E INMEDIATA SOBRE ESA SITUACIÓN,INCIDENTES POSITIVOS
Reclamaciones Escrito (resuelto/Final),EB,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,"desde el mes de noviembre se dio un cambio abrupto al valor total a pagar del acueducto . Servicios seleccionados: Agua Potable,",_,ITAGUI,Acueducto,Canal Escrito,,Metropolitana,LO ATIENDEN A UNO BIEN LE EXPLICAN A UNO TODOS LOS MANEJOS PARA MANEJAR LA ENERGÍA EL AGUA. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,LA ATENCIÓN DEL ASESOR  QUE ME ATENDIÓ EN LA LÍNEA DE ATENCIÓN  EN CUANTO A QUE LAS NECESIDADES  FUERON CONTESTADAS  POR PARTE DEL ASESOR Y ME BRINDO  LA  INFORMACIÓN CLARA,INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario en calidad de inquilino solicita constancia de consumo recuperado en factura de abril de 2019.,_,BELLO,Gas,Oficina de atención,,Metropolitana,"EL ESPACIO Y LA COMODIDAD, PORQUE ES AMPLIA LA OFICINA. PERO DEBERÍA HABER MEJOR DISTRIBUCIÓN/ESPACIO DE TIEMPO EN CUESTIONES DE ALIMENTACIÓN (DE LOS ASESORES), PORQUE A VECES VA UNO EN EL TRANSCURSO DE LA MAÑANA Y HAY SOLO UNO O DOS ASESORES Y LES QUEDA MUY DURO LA ATENCIÓN, Y LA GENTE QUEDA INSATISFECHA CON ESO; DEBERÍAN TENER MÁS PERSONAL EN ESOS HORARIOS DE ALIMENTACIÓN, PORQUE UNO NECESITA HACER VUELTAS Y TODO ESO EN LA OFICINA.",INCIDENTES POSITIVOS
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"DEFINITIVAMENTE LA INFORMACIÓN NO ES COHERENTE PORQUE POR EJEMPLO UNO LLAMA Y USTEDES DICEN QUE NOS ACERQUEMOS AL PUNTO Y CUANDO UNO VA AL PUNTO NOS DICEN LLAMEN A LA LÍNEA NO TIENEN COHERENCIA EN LO QUE USTEDES DICEN, NO SE PONEN DE ACUERDO UNO NO SABE QUIÉN ES EL QUE TOMA LAS DECISIONES, LOS UNOS SE TIRAN LA PELOTA CON LOS OTROS NADIE TIENE LA INFORMACIÓN ENTONCES ME PARECE QUE ES SUPER TEDIOSO PORQUE LLAMAR A EPM ES UNA HORA O DOS E IR AL PUNTO SON OTRAS DOS O TRES HORAS ENTONCES IR HAYA PARA QUE LO MANDEN A LLAMAR Y LUEGO LLAMAR PARA QUE LO MANDEN A IR NO ES COHERENTE LO QUE DICEN. USTEDES NO TIENEN COMO UNA SOLUCIÓN PARA EL USUARIO Y UNO DICE YA LLAMÉ LUEGO LO ENVÍAN AL PUNTO Y SI YA FUI AL PUNTO ENTONCES HA ENVIÉ UNA QUEJA AL CORREO Y SE DEMORAN MUCHO. NO HAY NADIE QUE RESUELVA LAS COSAS ESTA ES LA HORA QUE TENGO TODAVÍA EL PROBLEMA CON EL ACUEDUCTO.",INCIDENTES NEGATIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,SEPARACION TEMPORAL O PAGO DIRIGIDO,Separaci?n  contrato 661303,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,"PORQUE YO LLEVE LA FACTURA PARA SEPARAR Y FUE DE UNA QUE ME HICIERON LA SEPARACIÓN, NO HUBO NINGÚN PROBLEMA NI NADA, FUE EN UN MOMENTICO",INCIDENTES POSITIVOS
"Peticiones Escritas (Energía, aguas, gas)",_,_,_,_,_,Energía,Canal Escrito,,Metropolitana,_,_
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,FUE BUENA EN CUANTO A QUE EL ASESOR QUE ME ATENDIÓ ME RESOLVIÓ  SATISFACTORIAMENTE  LO QUE  NECESITABA.,INCIDENTES POSITIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Se presenta en calidad de esposa del suscriptor del inmueble con instalaci?n 060710104300370000 a solicitar informaci?n del estado del servicio y la deuda.,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,"PORQUE LA ASESORA FUE MUY CLARA, YA QUE ME EXPLICO MUY BIEN EL PROCESO Y QUEDÉ MUY SATISFECHA; Y AUNQUE NO ME RESOLVIERON AHI MISMO, SI ME DIJERON QUE CUANDO TUVIERA EL DINERO ME RESOLVERÍAN LA PETICIÓN DEL GAS, ME FUI A MI CASA SATISFECHA.",INCIDENTES POSITIVOS
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,LA ATENCIÓN  DEL ASESOR QUE ME ATENDIÓ EN CUANTO  A QUE  ME  EXPLICO  CORRECTAMENTE   SOBRE LA FORMA DE PAGO,INCIDENTES POSITIVOS
Quejas Gas,_,_,_,_,_,Gas,Línea de atención,,Metropolitana,_,_
Peticiones Gas Oficinas (resuelto),_,_,_,_,_,Gas,Oficina de atención,,Metropolitana,"ME DIERON LA SOLUCIÓN QUE NECESITABA Y ME EXPLICARON BIEN EL PORQUÉ DE LA SITUACIÓN, ME DIERON OPCIONES DE RESPUESTA EN LA SOLUCIÓN. NO DA MÁS INFORMACION.",INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,EMISION DE DOCUMENTO PARA PAGO,Solicita duplicado,_,PE?OL,Energía,Oficina de atención,,Regional,LA ATENCIÓN FUE RÁPIDA Y SATISFACTORIA,INCIDENTES POSITIVOS
"Peticiones Escritas (Energía, aguas, gas)",CARTA,INFORMACION GENERAL,"Usuaria solicita que al inmueble de su propiedad ubicad en la CR 81 CL 45 -194 INTERIOR 201, le sean suspendidos los servicios p?blicos si no son canceladas la totalidad de las cuentas pendientes por valor de $949.184.",_,MEDELLIN,Acueducto,Canal Escrito,,Metropolitana,QUE ME ATENDIERON RÁPIDO PORQUE NO ME DEMORE MUCHO TIEMPO ESPERANDO/NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,_,Energía,Línea de atención,,Regional,LA ATENCIÓN A LA LLAMADA FUE MUY RÁPIDA Y NO LO ENGAÑAN A UNO CON LA INFORMACION QUE BRINDAN. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
